"section","subsection","element","Value"
"Data","Data partitioning","Training data","We randomly selected 80% of data for model calibration, leaving the remaining 20% for model evaluation in 10-fold cross-validation."
"Data","Data partitioning","Validation data","The models were evaluated using True Skill Statistic (TSS), Area under curve (AUC) for PRG and ROC, and Kappa estimate."
"Data","Data partitioning","Test data","We randomly selected 20% of our data for model evaluation (10-fold cross-validation), and did not validate the predictions with an independent dataset."
"Data","Predictor variables","Predictor variables","We selected 29 predictors based on our understanding of the ecology of the earthworms. Seven climatic variables: aridity index, mean annual precipitation (MAP), and precipitation seasonality (MAP_seas), mean annual temperature (MAT), temperature seasonality (MAT_seas), mean of the yearly nitrogen deposition (Nit_Depo), and snow cover (i.e., number of days with snow cover). Seven habitat factors: four land-use types (agriculture, forest, pastures, and shrubland), distance to urban areas, land fragmentation, and population density in our models. Six topographic variables: elevation, aspect (i.e., direction of a slope), slope, latitude, as well as distance to coast, and distance to rivers. And nine edaphic factors: cation exchange capacity (CEC), soil texture expressed as clay+silt content, concentration of copper (Cu), mercury (Hg), nitrogen (N), and phosphorus (P), as well as pH in H20, content of soil organic carbon (SOC), and soil temperature at 0-5 cm depth (SoilT)."
"Data","Predictor variables","Data sources","Information on the data source for each environmental variable are given in the paper. We downloaded all data from the respective databases listed in the Appendix."
"Data","Predictor variables","Spatial extent","32, 75, -7, 53 (xmin, xmax, ymin, ymax)"
"Data","Predictor variables","Spatial resolution","between 25m (Slope) and 3.5km x 7km (Nitrogen diposition)"
"Data","Predictor variables","Coordinate reference system","WGS 1984, EPSG:4326"
"Data","Predictor variables","Temporal extent","Between 1981 and 2021 (2070 for future climate)"
"Data","Predictor variables","Temporal resolution","Time periods of data collection are ranging from 1 year (1 sampling campaign) to 11 years, and from hourly measures (e.g. CHELSA climate variables) to yearly measures (e.g. CORINE land cover data). For time series, the mean value of the yearly measurements was calculated."
"Data","Predictor variables","Data processing","Environmental layers were downscaled to 2km and 5km using the ArcGIS function Zonal Statistics, or the R function raster::resample()."
"Data","Predictor variables","Errors and biases","Spatial bias: Data gaps in certain countries (e.g. Albania, Bosnia & Herzegovina, Croatia, Italy, Poland, and more). Temporal issues: Environmental data do not reflect sampling conditions due to strong variation in sampling periods and missing detail information at and on sampling times."
"Data","Predictor variables","Dimension reduction","Predictor variables were standardized and we used variance inflation (VIF) analysis to avoid highly correlated variables. We only included the ten most important and weakly correlated variables."
"Data","Transfer data","Data sources","same as Predictor variables"
"Data","Transfer data","Spatial extent",
"Data","Transfer data","Spatial resolution","same as Predictor variables"
"Data","Transfer data","Temporal extent","same as Predictor variables"
"Data","Transfer data","Temporal resolution","same as Predictor variables"
"Data","Transfer data","Models and scenarios","see references of the individual variables"
"Data","Transfer data","Data processing","same as Predictor variables"
"Data","Transfer data","Quantification of Novelty",""
"Model","Variable pre-selection","Variable pre-selection","We selected variables according to the literature (see paper)."
"Model","Multicollinearity","Multicollinearity","We removed variables with Pearson correlation >0.8 and variable inflation factor (VIF) >0.8."
"Model","Model settings","Model settings (fitting)","maxent: notes (R package caret, used to identify the ten most important predictors), removeDuplicates (FALSE), rgs (automatically-tuned parameters (see R script)); biomod: models (GLM, GBM, GAM, CTA, ANN, FDA, MARS, RF, MAXENT.Phillips), model.options (algorithm-specific settings (see R script)), NbRunEval (10), DataSplit (80), models.eval.meth (""TSS""), rescal.all.models (FALSE), do.full.models (FALSE), em.by (""all""), eval.metric (""TSS""), eval.metric.quality.threshold (NULL), prob.mean (FALSE), prob.cv (TRUE), prob.ci (FALSE), prob.median (FALSE), committee.averaging (TRUE), prob.mean.weight (TRUE), prob.mean.weight.decay (""proportional""), VarImport (5); ensemble: models (GLM, GBM and MaxEnt), combinationMethod (average of predictions), notes (Ensemble of Small Models (ESM; Breiner et al. 2015)), weighting.score (""TSS""), tune (TRUE), NbRunEval (10), DataSplit (80), Prevalence (NULL)"
"Model","Model settings","Model settings (extrapolation)",""
"Model","Model estimates","Coefficients","mean posterior"
"Model","Model estimates","Parameter uncertainty",""
"Model","Model estimates","Variable importance","permutation importance for MaxEnt; biomod2::get_variables_importance for BIOMOD and ESM (i.e., Pearson correlation of difference between reference and shuffled prediction)."
"Model","Model selection - model averaging - ensembles","Model selection","We used the R package biomod2 to create an ensemble model with all ten available algorihtms (GLM, GBM, GAM, CTA, ANN, SRE, FDA, MARS, RF and MAXENT.Phillips). For species with 10-99 occurrence records, we performed small ensemble models with 3 algorithms (GLM, GBM, MaxEnt)."
"Model","Model selection - model averaging - ensembles","Model averaging",""
"Model","Model selection - model averaging - ensembles","Model ensembles","see R script"
"Model","Analysis and Correction of non-independence","Spatial autocorrelation",""
"Model","Analysis and Correction of non-independence","Temporal autocorrelation",""
"Model","Analysis and Correction of non-independence","Nested data",""
"Model","Threshold selection","Threshold selection","We used the threshold at maximum TSS value to transform predictions into binary ones."
"Assessment","Performance statistics","Performance on training data","TSS"
"Assessment","Performance statistics","Performance on validation data","TSS"
"Assessment","Performance statistics","Performance on test data","TSS"
"Assessment","Plausibility check","Response shapes",""
"Assessment","Plausibility check","Expert judgement",""
"Prediction","Prediction output","Prediction unit","Continuous predictions of occurrence probability per species and predicted presence per species that were obtained by binarizing the predicted occurrence probabilities using the threshold selection method based on maximizing TSS value."
"Prediction","Prediction output","Post-processing","In the Supplementary to this paper, output maps of occurrence probability and overall species richness are clipped to the German political boundary."
"Prediction","Uncertainty quantification","Algorithmic uncertainty",""
"Prediction","Uncertainty quantification","Input data uncertainty",""
"Prediction","Uncertainty quantification","Parameter uncertainty",""
"Prediction","Uncertainty quantification","Scenario uncertainty",""
"Prediction","Uncertainty quantification","Novel environments",""
