Species,SpeciesID,Fct_group,Comment,Ecogroup_Phillips,MJI Briones,Correct name,Acc_name,Percent_Epigeic,Percent_Anecic,Percent_Endogeic,Ecogroup_Bottinelli,Ecogroup,kingdom,phylum,class,order,suborder,family,genus,Records,NumCells_2km,NumCells_1km
Allolobophora smaragdina,Allol_smar,NA,NA,NA,Endogeic,Aporrectodea smaragdina,Allolobophora smaragdina,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,27,22,22
Allolobophora sturanyi,Allol_stur,NA,NA,NA,Endogeic,Allolobophora sturanyi,Allolobophora sturanyi,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,2,2,2
Allolobophora sturanyi dacidoides,Allol_stur,NA,NA,Endogeic,Endogeic,Allolobophora sturanyi dacidoides,Allolobophora sturanyi dacidoides,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,2,2,2
Allolobophora thaleri,Allol_thal,NA,NA,NA,N/A,Aporrectodea thaleri,Allolobophora thaleri,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,5,1,1
Amynthas agrestis,Amynt_agre,NA,NA,Epi-Endogeic,Epi-endogeic,Amynthas agrestis,Amynthas agrestis,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Amynthas,12,1,1
Amynthas corticis,Amynt_cort,NA,NA,Epi-Endogeic,Epi-endogeic,Amynthas corticis,Amynthas corticis,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Amynthas,15,7,7
Aporrectodea caliginosa,Aporr_cali,NA,NA,Endogeic,Endogeic,Aporrectodea caliginosa,Aporrectodea caliginosa,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,12469,2361,2554
Aporrectodea cupulifera,Aporr_cupu,NA,NA,Endogeic,Endogeic,Aporrectodea cupulifera,Aporrectodea cupulifera,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,29,14,15
Aporrectodea dubiosa,Aporr_dubi,NA,NA,Anecic,Anecic,Aporrectodea dubiosa,Aporrectodea dubiosa,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,4,2,2
Aporrectodea georgii,Aporr_geor,NA,NA,NA,Endogeic,Aporrectodea georgii,Aporrectodea georgii,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,16,8,8
Aporrectodea giardi,Aporr_giar,NA,NA,Anecic,Anecic,Aporrectodea giardi,Aporrectodea giardi,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,10,3,3
Aporrectodea handlirschi,Aporr_hand,NA,NA,NA,Endogeic,Aporrectodea handlirschi,Aporrectodea handlirschi,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,28,20,20
Aporrectodea icterica,Aporr_icte,NA,NA,Endogeic,Endogeic,Aporrectodea icterica,Aporrectodea icterica,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,130,31,36
Aporrectodea jassyensis,Aporr_jass,NA,NA,NA,Endogeic,Aporrectodea jassyensis,Aporrectodea jassyensis,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,7,5,5
Aporrectodea limicola,Aporr_limi,NA,NA,Endogeic,Endogeic,Aporrectodea limicola,Aporrectodea limicola,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,285,147,151
Aporrectodea longa,Aporr_long,NA,NA,Anecic,Anecic,Aporrectodea longa,Aporrectodea longa,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,2136,826,912
Aporrectodea moebii,Aporr_moeb,NA,NA,Endogeic,,Aporrectodea molleri,Aporrectodea moebii,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,3,3,3
Aporrectodea molleri,Aporr_moll,NA,NA,Anecic,Endogeic,Aporrectodea molleri,Aporrectodea molleri,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,60,32,33
Aporrectodea nocturna,Aporr_noct,NA,NA,Anecic,Anecic,Aporrectodea nocturna,Aporrectodea nocturna,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,35,28,31
Aporrectodea oerley,Aporr_oerl,NA,NA,NA,,,Aporrectodea,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,866,113,121
Aporrectodea oliveirae,Aporr_oliv,NA,NA,Epigeic,Epigeic,Aporrectodea oliveirae,Aporrectodea oliveirae,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,18,15,15
Aporrectodea opisthosellata,Aporr_opis,NA,NA,Anecic,Endogeic,Aporrectodea opisthosellata,Aporrectodea opisthosellata,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,1,1,1
Aporrectodea rosea,Aporr_rose,NA,NA,Endogeic,Endogeic,Aporrectodea rosea,Aporrectodea rosea,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,9811,1755,1871
Aporrectodea smaragdina,Aporr_smar,NA,NA,NA,Epi-endogeic,Aporrectodea smaragdina,Aporrectodea smaragdina,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,2,2,2
Aporrectodea thaleri,Aporr_thal,NA,NA,NA,N/A,Aporrectodea thaleri,Aporrectodea thaleri,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,7,3,3
Aporrectodea trapezoides,Aporr_trap,NA,NA,Anecic,Anecic,Aporrectodea trapezoides,Aporrectodea trapezoides,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,638,12,14
Aporrectodea tuberculata,Aporr_tube,NA,NA,Endogeic,,,Aporrectodea tuberculata,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Aporrectodea,180,8,9
Bimastos eiseni,Bimas_eise,NA,NA,NA,Epigeic,Allolobophoridella eiseni,Bimastos eiseni,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Bimastos,265,134,145
Bimastos parvus,Bimas_parv,NA,NA,Epigeic,Epigeic,Bimastos parvus,Bimastos parvus,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Bimastos,20,1,1
Bimastus parvus,Bimas_parv,NA,NA,NA,,,Bimastus parvus,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Bimastus,20,1,1
Bimastos rubidus,Bimas_rubi,NA,NA,NA,Epigeic,Dendrodrilus rubidus tenuis,Bimastos rubidus,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Bimastos,3033,524,562
Criodrilus lacuum,Criod_lacu,NA,NA,Anecic,Anecic,Criodrilus lacuum,Criodrilus lacuum,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Criodrilidae,Criodrilus,8,8,8
Dendrobaena alpina,Dendr_alpi,NA,NA,NA,Epigeic,Dendrobaena alpina,Dendrobaena alpina,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,26,8,8
Dendrobaena attemsi,Dendr_atte,NA,NA,Epigeic,Epigeic,Dendrobaena attemsi,Dendrobaena attemsi,83,0,17,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,389,123,134
Dendrobaena auriculata,Dendr_auri,NA,NA,NA,Epigeic,Dendrobaena auriculata,Dendrobaena auriculata,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,9,5,5
Dendrobaena byblica,Dendr_bybl,NA,NA,Epigeic,Epigeic,Dendrobaena byblica,Dendrobaena byblica,100,0,0,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,11,11,11
Dendrobaena clujensis,Dendr_cluj,NA,NA,NA,Anecic,Dendrobaena clujensis,Dendrobaena clujensis,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,1,1,1
Dendrobaena cognettii,Dendr_cogn,NA,NA,NA,Epigeic,Dendrobaena pygmaea,Dendrobaena cognettii,87,0,13,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,1,1,1
Dendrobaena franzi,Dendr_fran,NA,NA,Epigeic,Epigeic,Dendrobaena franzi,Dendrobaena franzi,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,1,1,1
Dendrobaena hortensis,Dendr_hort,NA,NA,Epigeic,Epigeic,Dendrobaena hortensis,Dendrobaena hortensis,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,79,53,57
Dendrobaena illyrica,Dendr_illy,NA,NA,NA,Epigeic,Dendrobaena illyrica,Dendrobaena illyrica,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,144,112,117
Dendrobaena illyricus,Dendr_illy,NA,NA,NA,,Dendrobaena illyrica,Dendrobaena illyricus,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,144,112,117
Dendrobaena lusitana,Dendr_lusi,NA,NA,Epigeic,Epigeic,Dendrobaena lusitana,Dendrobaena lusitana,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,6,6,6
Dendrobaena octaedra,Dendr_octa,NA,NA,Epigeic,Epigeic,Dendrobaena octaedra,Dendrobaena octaedra,97,0,3,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,5812,828,891
Dendrobaena pantaleonis,Dendr_pant,NA,NA,Epigeic,Epigeic,Dendrobaena pantaleonis,Dendrobaena pantaleonis,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,4,3,3
Dendrobaena pygmaea,Dendr_pygm,NA,NA,Epigeic,Epigeic,Dendrobaena pygmaea,Dendrobaena pygmaea,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,47,39,39
Dendrobaena pygmaea gallurensis,Dendr_pygm,NA,NA,Epigeic,Epigeic,Dendrobaena gallurensis,Dendrobaena pygmaea gallurensis,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,47,39,39
Dendrodrilus rubidus,Dendr_rubi,NA,NA,Epigeic,Epigeic,Dendrodrilus rubidus,Dendrodrilus rubidus,93,7,0,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrodrilus,875,368,384
Dendrodrilus rubidus subrubicundus,Dendr_rubi,NA,NA,Epigeic,Epigeic,Dendrodrilus rubidus subrubicundus,Dendrodrilus rubidus subrubicundus,93,7,0,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrodrilus,875,368,384
Dendrodrilus rubidus tenuis,Dendr_rubi,NA,NA,Epigeic,Epigeic,Dendrodrilus rubidus tenuis,Dendrodrilus rubidus tenuis,93,7,0,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrodrilus,875,368,384
Dendrobaena schmidti schmidti,Dendr_schm,NA,NA,Endogeic,Endogeic,Dendrobaena schmidti schmidti,Dendrobaena schmidti schmidti,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,3,1,1
Dendrobaena schmidti tellermanica,Dendr_schm,NA,NA,Endogeic,Endogeic,Dendrobaena schmidti tellermanica,Dendrobaena schmidti tellermanica,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,3,1,1
Dendrobaena schmidti,Dendr_schm,NA,NA,NA,Endogeic,Dendrobaena schmidti,Dendrobaena schmidti,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,3,1,1
Dendrobaena vejdovskyi,Dendr_vejd,NA,NA,NA,Epigeic,Dendrobaena vejdovskyi,Dendrobaena vejdovskyi,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,72,16,16
Dendrobaena veneta,Dendr_vene,NA,NA,Epigeic,Epigeic,Dendrobaena veneta,Dendrobaena veneta,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Dendrobaena,57,39,39
Dichogaster bolaui,Dicho_bola,NA,NA,Epi-Endogeic,Epi-Endogeic,Dichogaster bolaui,Dichogaster bolaui,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Dichogaster,10,2,2
Eisenia andrei,Eisen_andr,NA,NA,Epigeic,Epigeic,Eisenia andrei,Eisenia andrei,94,3,3,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eisenia,33,23,23
Eisenia balatonica,Eisen_bala,NA,NA,NA,Epigeic,Eisenia balatonica,Eisenia balatonica,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eisenia,1,1,1
Eiseniella balatonica,Eisen_bala,NA,NA,NA,,Eisenia balatonica,Eiseniella balatonica,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eiseniella,1,1,1
Eisenia fetida,Eisen_feti,NA,NA,Epigeic,Epigeic,Eisenia fetida,Eisenia fetida,93,4,3,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eisenia,585,269,277
Eiseniona hardlirschi,Eisen_hand,NA,Family from GBIF,Endogeic,Endogeic,Aporrectodea handlirschi,Eiseniona handlirschi,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eiseniona,13,4,6
Eisenia lucens,Eisen_luce,NA,NA,Epigeic,Epigeic,Eisenia lucens,Eisenia lucens,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eisenia,14,5,5
Eisenia nordenskioldi,Eisen_nord,NA,NA,NA,Epi-Endogeic,Eisenia nordenskioldi,Eisenia nordenskioldi,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eisenia,59,3,3
Eisenia nordenskioldi nordenskioldi,Eisen_nord,NA,NA,Epi-Endogeic,Epi-Endogeic,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eisenia,59,3,3
Eisenia spelaea,Eisen_spel,NA,NA,NA,Epigeic,Eisenia spelaea,Eisenia spelaea,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eisenia,2,1,1
Eisenia spelea,Eisen_spel,NA,NA,NA,,,Eisenia spelea,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eisenia,2,1,1
Eisenia submontana,Eisen_subm,NA,NA,NA,,,Eisenia submontana,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eisenia,2,2,2
Eiseniella tetraedra,Eisen_tetr,NA,NA,Epigeic,Epigeic,Eiseniella tetraedra,Eiseniella tetraedra,78,22,0,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eiseniella,11359,5283,5613
Enterion cyaneum,Enter_cyan,NA,Family from GBIF,NA,,Octolasion cyaneum,Enterion cyaneum,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Enterion,559,340,358
Enterion festivum,Enter_fest,NA,Family from GBIF,NA,,Lumbricus festivus,Enterion festivum,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Enterion,213,130,137
Enterion polyphemus,Enter_poly,NA,Family from GBIF,NA,,Lumbricus polyphemus,Enterion polyphemus,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Enterion,12,7,7
Enterion pygmaeum,Enter_pygm,NA,Family from GBIF,NA,,Dendrobaena pygmaea,Enterion pygmaeum,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Enterion,10,8,9
Enterion tyrtaeum,Enter_tyrt,NA,Family from GBIF,NA,,Octolasion tyrtaeum,Enterion tyrtaeum,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Enterion,447,192,193
Eophila icterica,Eophi_icte,NA,,NA,,Aporrectodea icterica,Eophila icterica,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eophila,88,48,49
Eophila tellinii,Eophi_tell,NA,NA,NA,Anecic,Eophila tellinii,Eophila tellinii,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Eophila,9,4,4
Eukerria saltensis,Euker_salt,NA,NA,Endogeic,Endogeic,Eukerria saltensis,Eukerria saltensis,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Ocnerodrilidae,Eukerria,4,4,4
Firzingeria depressa,Firzi_depr,NA,NA,Anecic,Anecic,Dendrobaena depressa,NA,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Fitzingeria,10,6,6
Firzingeria platyura,Fitzi_plat,NA,NA,Anecic,Anecic,Dendrobaena platyura,Fitzingeria platyura,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Fitzingeria,4,2,3
Helodrilus moebii,Helod_moeb,NA,NA,NA,,,Helodrilus moebii,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Helodrilus,1,1,1
Helodrilus norvegicus,Helod_norv,NA,NA,NA,,,Helodrilus norvegicus,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Helodrilus,1,1,1
Helodrilus oculatus,Helod_ocul,NA,NA,Epi-Endogeic,Epi-Endogeic,Helodrilus oculatus,Helodrilus oculatus,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Helodrilus,26,19,19
Helodrilus putris,Helod_putr,NA,NA,NA,,,Helodrilus,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Helodrilus,1,1,1
Hemigastrodrilus monicae,Hemig_moni,NA,NA,NA,Endogeic,Hemigastrodrilus monicae,Hemigastrodrilus monicae,0,0,100,Endogeic,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Hormogastridae,Hemigastrodrilus,1,1,1
Hormogaster elisae,Hormo_elis,NA,NA,Endogeic,Endogeic,Hormogaster elisae,Hormogaster elisae,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Hormogastridae,Hormogaster,24,1,1
Hormogaster najaformis,Hormo_naja,NA,NA,NA,Endogeic,Hormogaster najaformis,Hormogaster najaformis,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Hormogastridae,Hormogaster,1,1,1
Hormogaster riojana,Hormo_rioj,NA,NA,NA,Endogeic,Hormogaster riojana,Hormogaster riojana,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Hormogastridae,Hormogaster,1,1,1
Hormogaster samnitica,Hormo_samn,NA,NA,NA,Endogeic,Hormogaster samnitica,Hormogaster samnitica,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Hormogastridae,Hormogaster,1,1,1
Lumbricus badensis,Lumbr_bade,NA,NA,NA,Anecic,Lumbricus badensis,Lumbricus badensis,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Lumbricus,8,6,7
Lumbricus baicalensis,Lumbr_baic,NA,NA,NA,Epigeic,Lumbricus baicalensis,Lumbricus baicalensis,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Lumbricus,1,1,1
Lumbricus castaneus,Lumbr_cast,NA,NA,Epigeic,Epigeic,Lumbricus castaneus,Lumbricus castaneus,90,10,0,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Lumbricus,2551,1067,1138
Lumbricus centralis,Lumbr_cent,NA,NA,NA,Epi-anecic,Lumbricus centralis,Lumbricus centralis,34,66,0,Epi-anecic,Epi-anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Lumbricus,7,2,2
