Predictor,Long_name,Category,Original_name,File_name,File_name_processed,Unit_original,Unit,Missing_values,Range,Range_EU_1km,Range_EU_2km,Resolution,Resolution_temporal,Projection,Reference,Reference_DOI,Temporal_scale,Time,Spatial_scale,Aggregation method,Link,DOI_data,Downloaded_by,Download_Date,Transformation,Reprojected_to_WGS84,Comment,Comment_citation
Hg,Mercury,Soil,Hg distribution,Hg_dnn_mukg_250m_nn.tif_Masked_NODATA_COM.tif,Hg_noGrid_WGS84.tif,Hg μg kg−1,Hg μg kg−1,3.77E-05,0 - 1000.762,0.0008 - 852.4549,0.0023 - 721.6455,250m,single time point,ETRS1989 LAEA (EPSG:3035),Ballabio et al. 2021 Sc Total Env & Panagos et al. 2021 Env Research,https://doi.org/10.1016/j.envres.2021.111556 & https://doi.org/10.1016/j.scitotenv.2020.144755 ,2009,C,Europe,Average,https://esdac.jrc.ec.europa.eu/content/mercury-content-european-union-topsoil,https://doi.org/10.1016/j.envres.2021.111556  & https://doi.org/10.1016/j.scitotenv.2020.144755,RZ,1/17/2022,In ArcGIS: Project raster to WGS84. In R: makeToGrid,Yes,,
Moisture,Soil_moisture,Soil,Soil Moisture Index (SMI),sminx_m_euu_20100101_t.tif,Moisture_SMI_2010-2020_noGrid_WGS84.tif,value,value,-3.40E+38,0.0002 - 0.9739,0.0002 - 0.9651,0.0002 - 0.9653,25 km,10 days,ETRS1989 LAEA (EPSG:3035),Cammalleri et al. 2017 Hydrology & Earth System Sciences,https://doi.org/10.5194/hess-21-6329-2017,1995-2021,C,Europe/Global,Average,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/DROUGHTOBS/Drought_Observatories_datasets/EDO_Soil_Moisture/ver2-1-0/,none,RZ,1/14/2022,In ArcGIS: Cell Statistics: Mean across all files from 2010-2020. Project raster to WGS84. In R: makeToGrid,Yes,,
N,Soil_nitrogen,Soil,Nitrogen,N.tif,N_noGrid_WGS84.tif,N g kg-1,N g kg-1,-3.40E+38,0 - 15.40726,0 - 13.40171,0 - 11.34669,500m,single time point,ETRS1989 LAEA (EPSG:3035) I52 m10,Ballabio et al. 2019,https://doi.org/10.1016/j.geoderma.2019.113912. https://doi.org/10.1016/j.envres.2021.111556,2012,C,Europe,Average,https://esdac.jrc.ec.europa.eu/content/chemical-properties-european-scale-based-lucas-topsoil-data,https://doi.org/10.1007/s10661-013-3109-2,RZ,1/17/2022,In ArcGIS: Project raster to WGS84. In R: makeToGrid,Yes,,Maps of Soil Chemical properties at European scale based on LUCAS 2009/2012 topsoil data
P,Phosphorus,Soil,Phosphorus,P.tif,P_noGrid_WGS84.tif,P mg kg-1,P mg kg-1,-3.40E+38,0 - 120.6782,0 - 108.0802,0 - 100.0745,500m,single time point,ETRS1989 LAEA (EPSG:3035) I52 m10,Ballabio et al. 2019,https://doi.org/10.1016/j.geoderma.2019.113912,2012,C,Europe,Average,https://esdac.jrc.ec.europa.eu/content/chemical-properties-european-scale-based-lucas-topsoil-data,https://doi.org/10.1007/s10661-013-3109-3,RZ,1/17/2022,In ArcGIS: Project raster to WGS84. In R: makeToGrid,Yes,,Maps of Soil Chemical properties at European scale based on LUCAS 2009/2012 topsoil data
pH,Soil_pH,Soil,pH in Water (H2O),pH_H2O.tif,pH_H2O_noGrid_WGS84.tif,ph in H2O,ph in H2O,-3.40E+38,3.4313 - 8.7724 [0-15],3.4759 - 8.6026,3.5540 - 8.6064,500m,single time point,ETRS1989 LAEA (EPSG:3035) I52 m10,Ballabio et al. 2019,https://doi.org/10.1016/j.geoderma.2019.113912,2012,C,Europe,Average,https://esdac.jrc.ec.europa.eu/content/chemical-properties-european-scale-based-lucas-topsoil-data,https://doi.org/10.1007/s10661-013-3109-4,RZ,1/17/2022,In ArcGIS: Project raster to WGS84. In R: makeToGrid,Yes,,Maps of Soil Chemical properties at European scale based on LUCAS 2009/2012 topsoil data
SOC,Soil_organic_carbon,Soil,Global soil organic carbon,GSOCmap1.5.0.tif,GSOCmap1.5.0.tif,tonnes ha-1/ kg m-2,tonnes ha-1/ kg m-2,-3.40E+38,0 - 749.9311,0 - 723.2574,0 - 722.237,0.00833,single time point,WGS84 (EPSG: 4326),Global Soil Organic Carbon Map – GSOCmap v.1.6. 2022. FAO.,None,1990-2019,C,Global,Average,https://www.fao.org/soils-portal/data-hub/soil-maps-and-databases/global-soil-organic-carbon-map-gsocmap/en/,https://doi.org/10.1007/s10661-013-3109-6,CAG,2/25/2022,In R: makeToGrid,No,,FAO and ITPS 2018. Global Soil Organic Carbon Map - GSOCmap. Version 1.2.0. FAO. Rome Italy
SoilT,Soil_temperature,Soil,Soil Annual Temperature,SBIO1_Annual_Mean_Temperature_0_5cm.tif,SBIO1_Annual_Mean_Temperature_0_5cm.tif,degree_Celsius,degree_Celsius,-3.40E+38,-57.3999,-34.8162,-33.9061,0.00833,yearly (daily),WGS84 (EPSG: 4326),"Lembrechts et al., Mismatches between soil and air temperature (2021). EcoEvoRxiv",https://doi.org/10.5281/zenodo.4558732,1979-2020,C,Global,Average,https://zenodo.org/record/4558732#.YegKQ_go_b1,https://doi.org/10.5281/zenodo.4558732,RZ,1/19/2022,In R: makeToGrid,No,,metadata at https://figshare.com/articles/online_resource/SoilTemp/12126516
MAP_F,Mean_annual_precipitation,Climate,bioclim 12=Annual Precipitation [mm/year],CHELSA_bio12_2011-2040_..._V.2.1.tif,CHELSA_bio12_..._V.2.1.tif,mm/year,mm/year,,,,,0.00833,predicted,WGS84 (EPSG: 4326),Karger et al. 2017 Scientific Data,https://doi.org/10.1038/sdata.2017.122,2041-2070,F,Global,Average/Total,https://envicloud.wsl.ch/#/?prefix=chelsa%2Fchelsa_V2%2FGLOBAL%2F,none,RZ,6/2/2022,In R: makeToGrid,No,,Climatologies at high resolution for the Earth's land surface (CHELSA)
MAP_Seas_F,Precipitation_seasonality,Climate,bioclim 15=Precipitation Seasonality [coefficient of variation],CHELSA_bio15_2011-2040_..._V.2.1.tif,CHELSA_bio15_..._V.2.1.tif,value,value,,,,,0.00833,predicted,WGS84 (EPSG: 4326),Karger et al. 2017 Scientific Data,https://doi.org/10.1038/sdata.2017.122,2041-2070,F,Global,Average,https://envicloud.wsl.ch/#/?prefix=chelsa%2Fchelsa_V2%2FGLOBAL%2F,none,RZ,6/2/2022,In R: makeToGrid,No,,Climatologies at high resolution for the Earth's land surface (CHELSA)
MAT_F,Mean_annual_temperature,Climate,bioclim-variable: 1=Annual Mean Temperature [°C*10],CHELSA_bio1_2011-2040_..._V.2.1.tif,CHELSA_bio1_..._V.2.1.tif,degree_Celsius_*10,degree_Celsius_*10,,,,,0.00833,predicted,WGS84 (EPSG: 4326),Karger et al. 2017 Scientific Data,https://doi.org/10.1038/sdata.2017.122,2041-2070,F,Global,Average,https://envicloud.wsl.ch/#/?prefix=chelsa%2Fchelsa_V2%2FGLOBAL%2F,none,RZ,6/2/2022,In R: makeToGrid,No,,Climatologies at high resolution for the Earth's land surface (CHELSA)
MAT_Seas_F,Temperature_seasonality,Climate,bioclim 4=Temperature Seasonality [standard deviation],CHELSA_bio4_2011-2040_..._V.2.1.tif,CHELSA_bio4_..._V.2.1.tif,degree_Celsius_*10 ×100,degree_Celsius_*10 ×100,,,,,0.00833,predicted,WGS84 (EPSG: 4326),Karger et al. 2017 Scientific Data,https://doi.org/10.1038/sdata.2017.122,2041-2070,F,Global,Average,https://envicloud.wsl.ch/#/?prefix=chelsa%2Fchelsa_V2%2FGLOBAL%2F,none,RZ,6/2/2022,In R: makeToGrid,No,,Climatologies at high resolution for the Earth's land surface (CHELSA)
