"Grid","Sample_ID","LU_type","Species","Ecological grouping","Maturity","Abundance","Additional material","Total abundance per replicate","Comments","FID","OBJECTID","Unique_ID","Photo","NOTES","observed_o","user_login","positional","POINT_X","POINT_Y","Date","Time","MAT","MAP","Albedo","MAP_Seas","MAT_Seas","Crop","Dist_Urban","Forest_Con","NDVI","Forest_Dec","Pop_Dens","Elev","Slope","Aspect","Dist_River","SOC","pH","P","N","Clay_Silt"
"G64",40,"CROP","Aporrectodea trapezoides","Anecic","1I",1,NA,NA,NA,110,110,"G64_CROP_40","https://inaturalist-open-data.s3.amazonaws.com/photos/166091955/medium.jpeg"," ","2021-10-27 15:55:18","ruicarvalho",9,-7.27381430209,41.851438946,"2021-10-27","15:55",12.0613003,1397.9799805,1552.9899902,49.5410004,530.1760254,0.868561,2278.2299805,0,149.2519989,0,17.8115005,748.3029785,247.5509949,168.2480011,10706.9003906,55.5656013,5.1912999,31.5156002,1.72023,49.2173004
"G64",40,"CROP","Dendrobaena attemsi","Epigeic","1M+1SM",2,NA,NA,NA,110,110,"G64_CROP_40","https://inaturalist-open-data.s3.amazonaws.com/photos/166091955/medium.jpeg"," ","2021-10-27 15:55:18","ruicarvalho",9,-7.27381430209,41.851438946,"2021-10-27","15:55",12.0613003,1397.9799805,1552.9899902,49.5410004,530.1760254,0.868561,2278.2299805,0,149.2519989,0,17.8115005,748.3029785,247.5509949,168.2480011,10706.9003906,55.5656013,5.1912999,31.5156002,1.72023,49.2173004
"G64",40,"CROP","Octolasion tyrtaeum","Epi-Endogeic","1M",1,NA,8,NA,110,110,"G64_CROP_40","https://inaturalist-open-data.s3.amazonaws.com/photos/166091955/medium.jpeg"," ","2021-10-27 15:55:18","ruicarvalho",9,-7.27381430209,41.851438946,"2021-10-27","15:55",12.0613003,1397.9799805,1552.9899902,49.5410004,530.1760254,0.868561,2278.2299805,0,149.2519989,0,17.8115005,748.3029785,247.5509949,168.2480011,10706.9003906,55.5656013,5.1912999,31.5156002,1.72023,49.2173004
"G17",42,"PERM","Aporrectodea trapezoides","Anecic","1M",1,"plus 1 fragment with tubercula pubertatis",1,NA,86,86,"G17_PERM_42","https://inaturalist-open-data.s3.amazonaws.com/photos/166098713/medium.jpg"," ","Thu Oct 28 2021 11:05:54 GMT+0100 (GMT+1)","claudia_carvalho_santos",65,-8.09079128029,41.2425806502,"Thu Oct 28"," (GMT",14.2817001,1400.2600098,1468.5799561,52.6127014,476.9769897,0.766452,1787.1899414,0,164.7960052,0.233548,200.7960052,247.6779938,243.3549957,194.5709991,1051.4799805,77.089798,5.2249799,18.5030994,2.2684,39.7490005
"G17",45,"PAST","Aporrectodea trapezoides","Anecic","2I",2,NA,2,NA,87,87,"G17_PAST_45","https://static.inaturalist.org/photos/166119681/medium.jpeg"," ","2021-10-28 14:58:58","carolina_duarte",9,-8.04166722996,41.2493690199,"2021-10-28","14:58",14.4566002,1335.0899658,1559.5500488,53,483.1650085,0.681723,631.867981,0.0596476,154.2409973,0.0759001,177.4649963,202.9279938,246.0899963,106.9339981,4938.0698242,57.2518005,5.5001602,18.4421005,2.66237,39.2907982
"G1",47,"CROP","Aporrectodea caliginosa","Endogeic","1I",1,NA,1,NA,383,383,"G1_CROP_47","https://inaturalist-open-data.s3.amazonaws.com/photos/166250455/medium.jpeg"," ","2021-10-29 11:10:58","srcosta",9,-8.22707936172,40.9176294319,"2021-10-29","11:10",13.4164,1636.0600586,1514.3499756,53.2776985,461.4049988,0.636732,2278.2299805,0,181.6940002,0.363268,183.2890015,426.6040039,245.0140076,99.947197,16970.6992188,92.7242966,5.10145,25.6555004,2.77999,30.4022007
"G1",52,"PAST","Aporrectodea oliveirae","Epigeic","2SM",2,NA,2,NA,379,379,"G1_PAST_52","https://inaturalist-open-data.s3.amazonaws.com/photos/166286113/medium.jpeg"," ","2021-10-29 16:58:15","srcosta",9,-8.3600514665,40.8257942834,"2021-10-29","16:58",13.2891998,2036.4899902,1354.4699707,53.0126991,449.9450073,0.618345,3159.3400879,0,190.6329956,0.381655,124.0680008,465.9960022,242.576004,199.9539948,23517.0996094,122.6790009,5.18857,20.6583996,2.43045,32.196701
"G55",53,"PERM","Satchellius madeirensis","Epi-Endogeic","1SM+3I",4,NA,NA,NA,97,97,"G55_PERM_53","https://static.inaturalist.org/photos/167091336/medium.jpeg"," ","2021-11-03 11:03:18","carolina_duarte",6,-6.9279668396,41.7181673103,"2021-11-03","11:03",11.2827997,1341.7299805,1608.3199463,49.6801987,549.8759766,0.980191,13800.2001953,0,141.9499969,0.0198085,10.3759003,883.4869995,246.3139954,156.7409973,11401.7001953,47.0559998,5.50878,20.0128002,2.2332201,55.7078018
"G55",53,"PERM","Aporrectodea caliginosa","Endogeic","1I",1,NA,5,NA,97,97,"G55_PERM_53","https://static.inaturalist.org/photos/167091336/medium.jpeg"," ","2021-11-03 11:03:18","carolina_duarte",6,-6.9279668396,41.7181673103,"2021-11-03","11:03",11.2827997,1341.7299805,1608.3199463,49.6801987,549.8759766,0.980191,13800.2001953,0,141.9499969,0.0198085,10.3759003,883.4869995,246.3139954,156.7409973,11401.7001953,47.0559998,5.50878,20.0128002,2.2332201,55.7078018
"G55",54,"PAST","Satchellius madeirensis","Epi-Endogeic","4SM+1FSM+1I",6,NA,NA,NA,98,98,"G55_PAST_54","https://static.inaturalist.org/photos/167096812/medium.jpeg"," ","2021-11-03 12:16:40","carolina_duarte",9,-6.81542700975,41.6864514296,"2021-11-03","12:16",12.4544001,1151.5200195,1616.9699707,49.6674995,566.1640015,0.897073,10741.7998047,0,138.4759979,0,11.0710001,716.4279785,248.8309937,103.6760025,10973.7001953,46.0079002,5.62289,34.5583992,1.55993,46.8618011
"G55",54,"PAST","Aporrectodea caliginosa","Endogeic","3I",3,NA,9,NA,98,98,"G55_PAST_54","https://static.inaturalist.org/photos/167096812/medium.jpeg"," ","2021-11-03 12:16:40","carolina_duarte",9,-6.81542700975,41.6864514296,"2021-11-03","12:16",12.4544001,1151.5200195,1616.9699707,49.6674995,566.1640015,0.897073,10741.7998047,0,138.4759979,0,11.0710001,716.4279785,248.8309937,103.6760025,10973.7001953,46.0079002,5.62289,34.5583992,1.55993,46.8618011
"G55",55,"CROP","Aporrectodea trapezoides","Anecic","1M",1,NA,NA,NA,99,99,"G55_CROP_55","https://static.inaturalist.org/photos/167100764/medium.jpeg"," ","2021-11-03 12:52:27","carolina_duarte",5,-6.8169879999,41.7470015797,"2021-11-03","12:52",11.9144001,1276.8699951,1735.4799805,50.3548012,560.4160156,0.934812,4935.0498047,0,139.3950043,0.0651877,130.0019989,803.3619995,247.5980072,82.1752014,4841.6098633,46.1113014,5.6328201,39.2151985,0.832287,52.7293015
"G55",55,"CROP","Allolobophora chlorotica","Endogeic","4M",4,NA,5,NA,99,99,"G55_CROP_55","https://static.inaturalist.org/photos/167100764/medium.jpeg"," ","2021-11-03 12:52:27","carolina_duarte",5,-6.8169879999,41.7470015797,"2021-11-03","12:52",11.9144001,1276.8699951,1735.4799805,50.3548012,560.4160156,0.934812,4935.0498047,0,139.3950043,0.0651877,130.0019989,803.3619995,247.5980072,82.1752014,4841.6098633,46.1113014,5.6328201,39.2151985,0.832287,52.7293015
"G55",56,"URB","Allolobophora chlorotica","Endogeic","2M+1SM+1I",4,"plus one tail fragment",NA,NA,20,20,"G55_URB_56","https://static.inaturalist.org/photos/167109531/medium.jpeg"," ","2021-11-03 14:13:26","carolina_duarte",6,-6.79035808036,41.7720540604,"2021-11-03","14:13",12.2089996,1190.8100586,1711.7700195,50.4674988,562.9810181,1,893.5960083,0,121.3779984,0,50.3731995,753.7860107,249.3789978,144.3110046,3465.7099609,44.6418991,5.9912901,37.8664017,1.13173,60.9793015
"G55",56,"URB","Aporrectodea rosea","Endogeic","1M",1,NA,5,NA,20,20,"G55_URB_56","https://static.inaturalist.org/photos/167109531/medium.jpeg"," ","2021-11-03 14:13:26","carolina_duarte",6,-6.79035808036,41.7720540604,"2021-11-03","14:13",12.2089996,1190.8100586,1711.7700195,50.4674988,562.9810181,1,893.5960083,0,121.3779984,0,50.3731995,753.7860107,249.3789978,144.3110046,3465.7099609,44.6418991,5.9912901,37.8664017,1.13173,60.9793015
"G55",57,"FOR","Aporrectodea trapezoides","Anecic","1M",1,NA,NA,NA,96,96,"G55_FOR_57","https://static.inaturalist.org/photos/167115779/medium.jpeg"," ","2021-11-03 15:07:10","carolina_duarte",11,-6.88703533971,41.7606873402,"2021-11-03","15:07",10.5726004,1351.7800293,1373.3000488,50.7350006,545.3400269,0.0808001,8846.1503906,0,171.5619965,0.76662,0.268172,1016.9299927,245.2640076,125.4300003,6065.7597656,58.8653984,5.1701498,14.1680002,2.49664,64.5667038
"G55",57,"FOR","Dendrobaena octaedra","Epigeic","1SM",1,NA,2,NA,96,96,"G55_FOR_57","https://static.inaturalist.org/photos/167115779/medium.jpeg"," ","2021-11-03 15:07:10","carolina_duarte",11,-6.88703533971,41.7606873402,"2021-11-03","15:07",10.5726004,1351.7800293,1373.3000488,50.7350006,545.3400269,0.0808001,8846.1503906,0,171.5619965,0.76662,0.268172,1016.9299927,245.2640076,125.4300003,6065.7597656,58.8653984,5.1701498,14.1680002,2.49664,64.5667038
"G67",59,"PAST","Aporrectodea trapezoides","Anecic","1SM+1I",2,NA,NA,NA,1,1,"G67_PAST_59","https://static.inaturalist.org/photos/167149002/medium.jpeg"," ","2021-11-03 17:09:31","carolina_duarte",5,-6.6638617823,41.8780294041,"2021-11-03","17:09",12.4022999,1124.0300293,1213.8499756,51.5760002,564.625,0.138543,5994.4301758,0.711569,158.3179932,0,0,749.1779785,247.677002,160.3690033,13609,46.388401,5.3708801,15.8093996,1.4569499,51.8647003
"G67",59,"PAST","Allolobophora chlorotica","Endogeic","2M",2,NA,NA,NA,1,1,"G67_PAST_59","https://static.inaturalist.org/photos/167149002/medium.jpeg"," ","2021-11-03 17:09:31","carolina_duarte",5,-6.6638617823,41.8780294041,"2021-11-03","17:09",12.4022999,1124.0300293,1213.8499756,51.5760002,564.625,0.138543,5994.4301758,0.711569,158.3179932,0,0,749.1779785,247.677002,160.3690033,13609,46.388401,5.3708801,15.8093996,1.4569499,51.8647003
