ID,OriginalSpeciesBinomial,SpeciesBinomial,Genus,Family,Ecological_group,Abundance,Abundance_Unit
000_Akulova2017_Komi_Reg_Tr_Pechor_9,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,4.8,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_1,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,11.2,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_9,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,4.8,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_4,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,7.1,Individuals per m2
000_Akulova2017_Komi_Reg_Sev_Ural_11,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,0.4,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Kul_4,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,8,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Vym_4,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,4.8,Individuals per m2
000_Akulova2017_Komi_Reg_Sosnogorsk_1,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_3,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,1.7,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_10,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,2.4,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Vym_5,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_7,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,0.8,Individuals per m2
000_Akulova2017_Komi_Reg_Sysol_1,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,16.8,Individuals per m2
000_Akulova2017_Komi_Reg_Sev_Ural_8,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,0.2,Individuals per m2
000_Akulova2017_Komi_Reg_Knyazh_1,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Sev_Ural_4,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Kul_2,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,2.4,Individuals per m2
000_Akulova2017_Komi_Reg_Sosnogorsk_2,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_2,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,10.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sev_Ural_9,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,0.4,Individuals per m2
000_Akulova2017_Komi_Reg_Sosnogorsk_10,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Sev_Ural_10,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Kul_3,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,0.3,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Vym_3,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,1.2,Individuals per m2
000_Akulova2017_Komi_Reg_Sev_Ural_6,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sosnogorsk_9,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_2,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,0.8,Individuals per m2
000_Akulova2017_Komi_Reg_Sosnogorsk_5,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_8,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Sev_Ural_5,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,6.4,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_6,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,4.1,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_1,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,2.1,Individuals per m2
000_Akulova2017_Komi_Reg_Sev_Ural_1,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Sosnogorsk_6,Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena,Lumbricidae,Epigeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sysol_1,Dendrodrilus rubidus,Dendrodrilus rubidus,Dendrodrilus,Lumbricidae,Epigeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Sysol_3,Dendrodrilus rubidus,Dendrodrilus rubidus,Dendrodrilus,Lumbricidae,Epigeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Sysol_1,Eisenia fetida,Eisenia fetida,Eisenia,Lumbricidae,Epigeic,0.8,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_3,Eisenia fetida,Eisenia fetida,Eisenia,Lumbricidae,Epigeic,45.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sysol_3,Eisenia fetida,Eisenia fetida,Eisenia,Lumbricidae,Epigeic,7.2,Individuals per m2
000_Akulova2017_Komi_Reg_Sosnogorsk_11,Eisenia fetida,Eisenia fetida,Eisenia,Lumbricidae,Epigeic,9.6,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Kul_1,Eisenia fetida,Eisenia fetida,Eisenia,Lumbricidae,Epigeic,0.6,Individuals per m2
000_Akulova2017_Komi_Reg_Udor_2,Eisenia fetida,Eisenia fetida,Eisenia,Lumbricidae,Epigeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_14,Eisenia fetida,Eisenia fetida,Eisenia,Lumbricidae,Epigeic,4.8,Individuals per m2
000_Akulova2017_Komi_Reg_Priluz_2,Eisenia fetida,Eisenia fetida,Eisenia,Lumbricidae,Epigeic,0.8,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_1,Eisenia fetida,Eisenia fetida,Eisenia,Lumbricidae,Epigeic,4.8,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_13,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_3,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,8.9,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_4,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,0.1,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_8,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_17,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_19,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sev_Ural_5,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_9,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_6,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,19.6,Individuals per m2
000_Akulova2017_Komi_Reg_Kortker_3,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,17.4,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_9,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,2.4,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_8,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Kortker_2,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,5.4,Individuals per m2
000_Akulova2017_Komi_Reg_Sev_Ural_11,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,0.8,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_2,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,6.3,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Kul_2,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,0.8,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_7,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,3.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_5,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,2.4,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Kul_4,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_7,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Kortker_1,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,1.5,Individuals per m2
000_Akulova2017_Komi_Reg_Knyazh_1,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_1,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,2.7,Individuals per m2
000_Akulova2017_Komi_Reg_Sev_Ural_10,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,0.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sosnogorsk_13,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Sosnogorsk_7,Eisenia nordenskioldi,Eisenia nordenskioldi nordenskioldi,Eisenia,Lumbricidae,Epi-Endogeic,4.8,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_4,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,7.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_5,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,6.2,Individuals per m2
000_Akulova2017_Komi_Reg_Sysol_1,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,17.6,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_1,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,15.2,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_14,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,9.6,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_12,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_4,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_8,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sysol_2,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Sysol_3,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,14.4,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_11,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Kortker_4,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,18.2,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_18,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sosnogorsk_12,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Kul_1,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,2.4,Individuals per m2
000_Akulova2017_Komi_Reg_Sev_Ural_9,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,0.4,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Vym_6,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,14.4,Individuals per m2
000_Akulova2017_Komi_Reg_Sosnogorsk_11,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,18.2,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_16,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_5,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Vym_2,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,10.4,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_10,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,9.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_1,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,19.4,Individuals per m2
000_Akulova2017_Komi_Reg_Udor_1,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,16.4,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_13,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,12.8,Individuals per m2
000_Akulova2017_Komi_Reg_Sev_Ural_11,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,0.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sev_Ural_10,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,0.8,Individuals per m2
000_Akulova2017_Komi_Reg_Sev_Ural_6,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,4.8,Individuals per m2
000_Akulova2017_Komi_Reg_Udor_2,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,20.4,Individuals per m2
000_Akulova2017_Komi_Reg_Kortker_3,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,6.4,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_3,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_2,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,37.7,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_3,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,10.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_9,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Sev_Ural_5,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,19.2,Individuals per m2
000_Akulova2017_Komi_Reg_Sev_Ural_3,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Kortker_1,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,10.1,Individuals per m2
000_Akulova2017_Komi_Reg_Sev_Ural_7,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,4.8,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_2,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,22.4,Individuals per m2
000_Akulova2017_Komi_Reg_Sev_Ural_4,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Sosnogorsk_3,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Kul_3,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_15,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,4.8,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Kul_2,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,4.6,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Vym_1,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,17.6,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_10,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_7,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,1.2,Individuals per m2
000_Akulova2017_Komi_Reg_Knyazh_1,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,3.2,Individuals per m2
000_Akulova2017_Komi_Reg_Sosnogorsk_8,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Priluz_1,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,2.8,Individuals per m2
000_Akulova2017_Komi_Reg_Priluz_2,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,14.8,Individuals per m2
000_Akulova2017_Komi_Reg_Sosnogorsk_13,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Tr_Pechor_19,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,8,Individuals per m2
000_Akulova2017_Komi_Reg_Sykt_6,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,4.8,Individuals per m2
000_Akulova2017_Komi_Reg_Sev_Ural_2,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,1.6,Individuals per m2
000_Akulova2017_Komi_Reg_Kortker_2,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,14.7,Individuals per m2
000_Akulova2017_Komi_Reg_Ust_Kul_4,Lumbricus rubellus,Lumbricus rubellus,Lumbricus,Lumbricidae,Epigeic,38.9,Individuals per m2
000_Akulova2017_Komi_Reg_Sysol_1,Octolasium lacteum,Octolasion lacteum,Octolasion,Lumbricidae,Endogeic,14.4,Individuals per m2
000_Akulova2017_Komi_Reg_Sysol_2,Octolasium lacteum,Octolasion lacteum,Octolasion,Lumbricidae,Endogeic,23.2,Individuals per m2
000_Akulova2017_Komi_Reg_Sev_Ural_11,Octolasium lacteum,Octolasion lacteum,Octolasion,Lumbricidae,Endogeic,0.2,Individuals per m2
