"x","y","MAP","MAP_Seas","MAT","MAT_Seas","Agriculture","Dist_Urban","Forest_Coni","Forest_Deci","NDVI","Pastures","Pop_Dens","Shrubland","Aspect","Dist_Coast","Dist_River","Elev","Slope","CEC","Clay.Silt","Cu","Hg","Moisture","N","P","pH","SOC"
-0.21,-0.37,-0.09,-0.3,0.47,-0.34,0.52,-0.71,-0.38,-0.03,0.17,0.28,1,-0.52,0.14,0.08,0.25,-0.28,0.11,0.12,0.38,0.3,0.05,-0.01,0.12,0.4,0.39,-0.06
0.11,0.1,0.1,0.4,-0.22,0.2,-0.47,0.45,0.31,0.11,-0.11,-0.21,-0.52,1,-0.07,-0.17,-0.13,0.31,-0.29,-0.05,-0.3,-0.11,-0.01,0.02,-0.1,-0.48,-0.25,-0.02
-0.18,-0.24,0.07,-0.09,0.2,-0.19,0.19,-0.13,-0.12,0.08,0.16,0.23,0.14,-0.07,1,0.13,0.2,0.12,-0.08,0.02,0.13,0.07,-0.06,-0.03,0.09,-0.01,0.18,0.03
0.23,-0.07,-0.14,-0.01,-0.13,0.4,0.07,-0.08,0.04,0.21,-0.03,0.1,0.08,-0.17,0.13,1,-0.06,0.42,-0.04,-0.09,0.18,-0.1,-0.08,-0.07,-0.13,-0.01,0,-0.15
-0.31,-0.45,0.06,-0.06,0.39,-0.42,0.27,-0.2,-0.26,0,0.12,0.32,0.25,-0.13,0.2,-0.06,1,0.14,-0.19,0.19,0.35,0.32,-0.02,-0.15,0.18,0.05,0.39,-0.02
-0.12,-0.31,0.27,0.31,-0.07,0.07,-0.28,0.27,0.12,0.2,-0.03,0.12,-0.28,0.31,0.12,0.42,0.14,1,-0.7,0.08,0.24,0.19,0.1,-0.22,0.12,-0.49,0.05,-0.1
0.24,0.39,-0.41,-0.17,-0.1,0.21,0.29,-0.14,-0.06,-0.26,-0.18,-0.22,0.11,-0.29,-0.08,-0.04,-0.19,-0.7,1,-0.23,-0.33,-0.41,-0.27,0.12,-0.36,0.45,-0.1,0.03
0.02,-0.36,-0.01,-0.07,0.29,-0.06,0.16,-0.14,-0.36,0.03,-0.03,0.2,0.12,-0.05,0.02,-0.09,0.19,0.08,-0.23,1,0.52,0.53,0.15,-0.17,0.31,-0.15,0.53,-0.07
-0.27,-0.62,0.05,-0.14,0.55,-0.3,0.45,-0.34,-0.56,0.07,-0.01,0.28,0.38,-0.3,0.13,0.18,0.35,0.24,-0.33,0.52,1,0.68,0.04,-0.29,0.29,0.02,0.68,-0.23
-0.28,-0.64,0.17,-0.02,0.56,-0.33,0.25,-0.24,-0.47,0.03,0.01,0.22,0.3,-0.11,0.07,-0.1,0.32,0.19,-0.41,0.53,0.68,1,0.1,-0.29,0.32,-0.12,0.57,-0.12
-0.15,0.2,0.47,-0.21,-0.29,-0.16,-0.35,-0.03,0.18,0.06,0.37,0.18,0.05,-0.01,-0.06,-0.08,-0.02,0.1,-0.27,0.15,0.04,0.1,1,0.27,0.59,0.07,-0.28,0.43
0.12,0.36,0.23,-0.23,-0.33,0.04,-0.16,-0.01,0.32,0.13,0.37,-0.06,-0.01,0.02,-0.03,-0.07,-0.15,-0.22,0.12,-0.17,-0.29,-0.29,0.27,1,0.17,0.13,-0.43,0.34
-0.31,-0.08,0.56,-0.31,-0.02,-0.42,-0.13,-0.12,-0.13,0.17,0.47,0.47,0.12,-0.1,0.09,-0.13,0.18,0.12,-0.36,0.31,0.29,0.32,0.59,0.17,1,0.11,0.02,0.46
-0.15,0.21,-0.05,-0.43,0,-0.22,0.34,-0.35,-0.22,-0.22,0.08,0.23,0.4,-0.48,-0.01,-0.01,0.05,-0.49,0.45,-0.15,0.02,-0.12,0.07,0.13,0.11,1,0.05,0.18
-0.32,-0.74,-0.25,-0.04,0.75,-0.36,0.65,-0.33,-0.7,-0.12,-0.32,0.29,0.39,-0.25,0.18,0,0.39,0.05,-0.1,0.53,0.68,0.57,-0.28,-0.43,0.02,0.05,1,-0.4
-0.06,0.37,0.54,-0.35,-0.38,-0.17,-0.35,0.06,0.27,0.08,0.48,0.17,-0.06,-0.02,0.03,-0.15,-0.02,-0.1,0.03,-0.07,-0.23,-0.12,0.43,0.34,0.46,0.18,-0.4,1
