"ID","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Longitude","Latitude"
22,96,75,35,4834,213,1,212,45,60,158,35,687,69,43,13,199,145,165,176,-1.137172,51.564169
23,96,75,35,4834,213,1,212,45,60,158,35,687,69,43,13,199,145,165,176,-1.137172,51.564169
24,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.08099,51.459798
25,96,75,35,4834,213,1,212,45,60,158,35,687,69,43,13,199,145,165,176,-1.13994,51.56275
26,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.024639,51.46312
27,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.028494,51.46459
28,96,75,35,4834,213,1,212,45,60,158,35,687,69,43,13,199,145,165,176,-1.13994,51.56275
29,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.08099,51.459798
30,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.023232,51.461579
31,96,75,35,4834,213,1,212,45,60,158,35,687,69,43,13,199,145,165,176,-1.137172,51.564169
32,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.081326,51.457373
33,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.082808,51.46242
34,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.024639,51.46312
35,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.023232,51.461579
36,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.085638,51.457677
37,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.024639,51.46312
38,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.085638,51.457677
39,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.082808,51.46242
40,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.085638,51.457677
41,66,42,32,3280,137,6,131,34,96,110,27,1209,144,58,31,418,183,203,377,-1.059598,60.597804
42,99,76,33,5608,223,-2,225,170,57,170,27,819,80,54,12,237,175,237,190,6.156889,50.856415
43,78,70,30,5799,204,-26,230,14,37,152,4,988,101,64,12,280,215,260,267,8.258421,51.492737
44,88,82,33,6093,223,-21,244,166,43,166,10,661,72,39,18,210,132,210,146,9.808314,52.360828
45,78,83,32,6356,220,-37,257,159,4,159,-3,622,79,33,25,213,120,213,122,11.491421,50.747795
46,88,82,33,6093,223,-21,244,166,43,166,10,661,72,39,18,210,132,210,146,9.808314,52.360828
47,99,76,33,5608,223,-2,225,170,57,170,27,819,80,54,12,237,175,237,190,6.156889,50.856415
48,87,80,31,6338,225,-29,254,152,44,166,4,745,74,46,12,215,156,208,173,8.863591,50.82119
49,80,82,32,6240,221,-32,253,161,9,161,1,609,80,34,26,212,117,212,117,11.62356,50.973755
50,97,87,32,6484,243,-21,264,180,25,180,13,634,68,39,17,196,127,196,137,8.552599,50.001007
51,92,75,32,5763,221,-11,232,166,51,166,19,828,82,55,12,234,174,234,207,7.950153,51.616657
52,86,67,38,3972,182,8,174,66,100,138,38,1054,106,67,18,315,207,250,282,-5.6679,54.641198
53,167,91,34,6350,317,50,267,106,252,252,91,645,134,4,81,344,20,20,337,26.528015,39.168575
54,155,85,33,6121,299,45,254,83,237,237,83,676,139,5,80,360,23,23,360,26.489643,39.165845
55,71,62,23,7014,218,-44,262,155,11,165,-14,479,56,23,28,160,77,147,108,17.860843,58.760319
56,88,67,34,4540,192,0,192,63,53,147,31,773,80,50,15,230,160,181,202,-2.890747,52.733336
57,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.270647,51.381824
58,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.27599,51.38923
59,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.274845,51.388953
60,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.271217,51.382097
61,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.274845,51.388953
62,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.267464,51.383153
63,86,71,36,4583,195,1,194,39,132,147,30,1028,110,68,17,318,208,229,291,-1.918341,53.886534
64,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.270647,51.381824
65,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.266724,51.384497
66,93,69,36,4484,197,6,191,68,58,151,37,775,76,49,14,222,154,200,191,-2.457124,53.044138
67,93,69,36,4484,197,6,191,68,58,151,37,775,76,49,14,222,154,200,191,-2.457124,53.044138
68,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.270647,51.381824
69,93,69,36,4484,197,6,191,68,58,151,37,775,76,49,14,222,154,200,191,-2.457124,53.044138
70,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.27599,51.38923
71,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.270647,51.381824
72,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.267464,51.383153
73,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.267464,51.383153
74,105,76,36,4721,220,12,208,56,151,167,46,819,92,47,23,271,154,158,240,-1.041348,50.803268
75,105,76,36,4721,220,12,208,56,151,167,46,819,92,47,23,271,154,158,240,-1.058663,50.78902
76,88,67,34,4540,192,0,192,63,53,147,31,773,80,50,15,230,160,181,202,-2.890747,52.733336
77,105,76,36,4721,220,12,208,56,151,167,46,819,92,47,23,271,154,158,240,-1.041348,50.803268
78,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.27599,51.38923
79,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.274845,51.388953
80,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.271217,51.382097
81,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.266724,51.384497
82,92,75,32,5763,221,-11,232,166,51,166,19,828,82,55,12,234,174,234,207,7.950153,51.616657
83,78,70,30,5799,204,-26,230,14,37,152,4,988,101,64,12,280,215,260,267,8.252381,51.482414
84,79,89,31,6829,227,-52,279,165,3,165,-11,946,126,50,35,362,159,362,162,11.647181,48.126465
85,99,76,33,5608,223,-2,225,170,57,170,27,819,80,54,12,237,175,237,190,6.152558,50.856216
86,93,75,32,5755,221,-8,229,167,51,167,20,811,81,52,13,232,168,232,200,7.874115,51.92363
87,99,76,33,5608,223,-2,225,170,57,170,27,819,80,54,12,237,175,237,190,6.156889,50.856415
88,71,76,29,6669,212,-46,258,156,-6,156,-14,654,80,38,25,227,122,227,131,12.931861,50.792519
89,87,79,31,6331,226,-27,253,153,45,167,5,753,72,47,12,213,162,203,178,8.709519,50.79216
90,99,76,33,5608,223,-2,225,170,57,170,27,819,80,54,12,237,175,237,190,6.156889,50.856415
91,85,61,26,6226,207,-22,229,164,32,164,7,590,64,31,20,189,108,189,129,12.079296,54.140667
92,43,70,28,6121,173,-69,242,89,33,124,-33,863,104,47,24,279,153,224,210,10.510747,63.428067
93,46,70,29,5979,174,-63,237,50,37,125,-28,878,105,47,24,282,157,221,218,10.470997,63.439722
94,49,62,29,5455,165,-47,212,18,74,121,-17,1157,143,51,27,382,186,243,347,8.203739,62.921997
95,167,86,33,6154,313,56,257,108,249,249,94,660,138,4,82,356,17,17,356,26.503104,39.166666
96,167,91,34,6350,317,50,267,106,252,252,91,645,134,4,81,344,20,20,337,26.507799,39.170573
97,64,79,26,8059,223,-79,302,165,-34,165,-41,618,78,28,29,220,99,220,113,23.947547,54.903434
98,66,75,27,7036,219,-58,277,148,7,159,-21,565,67,28,26,190,92,180,119,16.091827,58.593371
99,76,65,25,6636,203,-48,251,86,18,161,-7,782,86,42,25,250,130,212,185,12.015722,57.433977
100,66,75,27,7036,219,-58,277,148,7,159,-21,565,67,28,26,190,92,180,119,16.091827,58.593371
101,56,71,24,7534,209,-77,286,142,-7,154,-39,558,71,27,31,199,87,188,115,17.618577,59.913609
102,79,78,31,6200,213,-32,245,158,7,158,0,742,84,50,16,230,160,230,169,10.572005,51.88727
103,89,73,36,4729,203,1,202,40,137,152,31,853,88,62,11,249,192,202,233,-1.599711,53.150253
104,100,77,36,4797,217,6,211,49,148,163,40,835,94,50,22,274,162,166,244,-1.00759,50.856043
105,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.033611,51.46769
106,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.034634,51.466979
107,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.012684,51.450071
108,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.024639,51.46312
109,105,76,36,4721,220,12,208,56,151,167,46,819,92,47,23,271,154,158,240,-1.030183,50.794183
110,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.012387,51.450519
111,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.012387,51.450519
112,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.023232,51.461579
113,66,43,33,3256,137,7,130,35,96,110,28,1202,143,58,31,415,182,201,375,-1.181895,60.53441
114,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.034634,51.466979
115,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.036948,51.466458
116,105,76,36,4721,220,12,208,56,151,167,46,819,92,47,23,271,154,158,240,-1.030183,50.794183
117,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.024639,51.46312
118,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.032789,51.465705
119,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.034634,51.466979
120,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.036948,51.466458
121,68,73,37,4372,177,-20,197,23,86,126,14,1013,103,64,16,304,201,234,274,-3.107075,55.776987
122,86,72,36,4575,196,1,195,39,132,146,30,927,97,64,13,277,199,211,258,-1.542715,53.354213
123,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.013392,51.450617
124,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.024639,51.46312
125,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.036948,51.466458
126,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.033611,51.46769
127,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.024639,51.46312
128,65,42,32,3326,136,5,131,33,96,110,26,1214,144,58,31,420,183,203,378,-1.036261,60.725226
129,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.034634,51.466979
130,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.024639,51.46312
131,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.013392,51.450617
132,66,43,33,3256,137,7,130,35,96,110,28,1202,143,58,31,415,182,201,375,-1.176966,60.534739
133,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.036948,51.466458
134,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.013392,51.450617
135,105,76,36,4721,220,12,208,56,151,167,46,819,92,47,23,271,154,158,240,-1.030183,50.794183
136,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.023232,51.461579
137,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.023232,51.461579
138,104,76,36,4692,218,11,207,55,150,165,45,797,89,47,22,261,155,159,232,-1.261556,50.877709
139,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.012387,51.450519
140,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.033611,51.46769
141,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.036948,51.466458
142,105,76,36,4721,220,12,208,56,151,167,46,819,92,47,23,271,154,158,240,-1.03886,50.786161
143,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.024639,51.46312
144,100,77,36,4797,217,6,211,49,148,163,40,835,94,50,22,274,162,166,244,-1.0021,50.847003
145,96,68,34,4553,207,11,196,49,115,158,42,846,91,51,18,264,168,185,244,-2.875519,51.154759
146,100,77,36,4797,217,6,211,49,148,163,40,835,94,50,22,274,162,166,244,-1.00759,50.856043
147,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.024639,51.46312
148,100,77,36,4797,217,6,211,49,148,163,40,835,94,50,22,274,162,166,244,-1.00759,50.856043
149,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.012684,51.450071
150,160,85,33,6137,303,49,254,101,241,241,87,649,133,5,78,341,23,23,341,26.458784,39.195691
151,167,91,34,6350,317,50,267,106,252,252,91,645,134,4,81,344,20,20,337,26.507337,39.174542
152,85,94,32,7145,239,-53,292,173,40,173,-11,834,102,48,25,288,156,288,181,12.948924,48.807373
153,99,76,33,5608,223,-2,225,170,57,170,27,819,80,54,12,237,175,237,190,6.156889,50.856415
154,88,77,29,6801,232,-31,263,175,10,175,1,619,79,35,26,217,113,217,121,13.728104,51.204304
155,98,89,33,6518,244,-23,267,180,25,180,12,665,75,42,17,208,134,208,144,8.906375,49.99678
156,85,94,32,7145,239,-53,292,173,40,173,-11,834,102,48,25,288,156,288,181,12.89348,48.792385
157,85,80,32,6216,222,-26,248,164,38,164,5,748,80,43,18,229,142,229,174,9.96902,53.57518
158,83,77,31,6220,219,-28,247,147,41,162,2,816,79,52,11,224,177,214,202,8.574851,50.77211
159,99,76,33,5608,223,-2,225,170,57,170,27,819,80,54,12,237,175,237,190,6.156889,50.856415
160,45,69,28,6272,175,-71,246,93,34,127,-34,970,116,52,24,312,175,250,237,11.286712,63.72828
161,66,75,27,7036,219,-58,277,148,7,159,-21,565,67,28,26,190,92,180,119,16.091872,58.592425
162,58,71,24,7469,212,-73,285,144,-4,157,-35,556,71,27,30,198,87,188,114,17.366923,59.673263
163,61,70,24,7402,214,-67,281,147,0,159,-30,550,70,26,31,195,86,186,113,17.386237,59.655618
164,62,76,26,7361,219,-69,288,147,1,159,-30,570,71,28,29,200,91,191,114,16.518671,59.368483
165,66,75,27,7036,219,-58,277,148,7,159,-21,565,67,28,26,190,92,180,119,16.091827,58.593371
166,63,72,25,7191,217,-62,279,147,3,159,-25,573,69,28,28,194,93,186,122,16.800337,59.04576
167,45,69,28,6272,175,-71,246,93,34,127,-34,970,116,52,24,312,175,250,237,11.286712,63.72828
168,66,75,27,7036,219,-58,277,148,7,159,-21,565,67,28,26,190,92,180,119,16.105257,58.564012
169,66,75,27,7036,219,-58,277,148,7,159,-21,565,67,28,26,190,92,180,119,16.105257,58.564012
170,48,69,28,6038,175,-63,238,94,38,127,-28,918,111,50,25,298,164,235,223,10.717324,63.588059
171,66,68,24,7189,217,-57,274,150,5,162,-22,545,66,26,28,184,88,176,119,17.215781,59.056991
172,66,42,32,3280,137,6,131,34,96,110,27,1209,144,58,31,418,183,203,377,-1.026345,60.586343
173,64,41,30,3395,136,2,134,31,97,110,24,1223,144,59,31,423,185,204,379,-0.997996,60.673632
174,66,42,32,3280,137,6,131,34,96,110,27,1209,144,58,31,418,183,203,377,-1.026345,60.586343
175,99,78,34,5178,224,-1,225,68,61,166,33,663,64,40,12,188,141,159,165,-0.657499,51.663653
176,69,43,32,3259,141,10,131,54,98,112,31,1186,141,57,31,409,181,201,369,-1.157156,60.497623
177,99,78,34,5178,224,-1,225,68,61,166,33,663,64,40,12,188,141,159,165,-0.657499,51.663653
178,96,75,35,4834,213,1,212,45,60,158,35,687,69,43,13,199,145,165,176,-1.137172,51.564169
179,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.078874,51.457624
180,64,41,30,3395,136,2,134,31,97,110,24,1223,144,59,31,423,185,204,379,-0.917422,60.688494
181,64,41,30,3395,136,2,134,31,97,110,24,1223,144,59,31,423,185,204,379,-0.997996,60.673632
182,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.081326,51.457373
183,99,78,34,5178,224,-1,225,68,61,166,33,663,64,40,12,188,141,159,165,-0.657499,51.663653
184,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.082808,51.46242
185,99,77,35,4853,217,3,214,46,147,162,38,861,97,52,22,282,166,171,251,-0.932286,50.856278
186,99,77,35,4853,217,3,214,46,147,162,38,861,97,52,22,282,166,171,251,-0.936138,50.874298
187,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.081326,51.457373
188,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.081326,51.457373
189,99,77,35,4853,217,3,214,46,147,162,38,861,97,52,22,282,166,171,251,-0.932286,50.856278
190,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.082808,51.46242
191,69,43,32,3259,141,10,131,54,98,112,31,1186,141,57,31,409,181,201,369,-1.157156,60.497623
192,97,76,35,4837,214,1,213,45,61,159,35,717,75,47,15,217,153,162,193,-1.078874,51.457624
193,99,78,34,5178,224,-1,225,68,61,166,33,663,64,40,12,188,141,159,165,-0.657499,51.663653
194,64,41,30,3395,136,2,134,31,97,110,24,1223,144,59,31,423,185,204,379,-0.997996,60.673632
195,99,77,35,4853,217,3,214,46,147,162,38,861,97,52,22,282,166,171,251,-0.932286,50.856278
196,99,78,34,5178,224,-1,225,68,61,166,33,663,64,40,12,188,141,159,165,-0.657499,51.663653
197,64,41,30,3395,136,2,134,31,97,110,24,1223,144,59,31,423,185,204,379,-0.917422,60.688494
198,64,41,30,3395,136,2,134,31,97,110,24,1223,144,59,31,423,185,204,379,-0.997996,60.673632
199,66,42,32,3280,137,6,131,34,96,110,27,1209,144,58,31,418,183,203,377,-1.059606,60.597535
200,69,43,32,3259,141,10,131,54,98,112,31,1186,141,57,31,409,181,201,369,-1.157156,60.497623
201,79,84,24,9251,255,-84,339,194,-33,194,-41,553,75,30,30,202,95,202,110,31.737615,50.317498
202,90,81,30,6877,237,-33,270,177,41,177,1,577,69,35,21,189,112,189,128,13.233587,52.54607
203,79,89,31,6829,227,-52,279,165,3,165,-11,946,126,50,35,362,159,362,162,11.615623,48.079136
204,71,76,29,6669,212,-46,258,156,-6,156,-14,654,80,38,25,227,122,227,131,12.888941,50.825771
205,100,89,33,6479,242,-21,263,181,27,181,15,672,85,40,25,229,123,229,131,9.192678,49.078232
206,81,79,29,6855,226,-42,268,167,1,167,-9,621,73,34,25,213,112,213,125,14.95523,51.073437
207,88,82,33,6093,223,-21,244,166,43,166,10,661,72,39,18,210,132,210,146,9.808314,52.360828
208,87,80,32,6284,223,-27,250,166,44,166,5,697,77,43,17,216,137,216,154,9.497343,51.141582
209,100,89,33,6479,242,-21,263,181,27,181,15,672,85,40,25,229,123,229,131,9.192697,49.078281
210,66,97,33,6885,217,-75,292,151,-11,151,-26,1023,142,51,37,404,163,404,167,12.054007,47.629966
211,51,65,31,5187,163,-45,208,57,73,119,-12,1081,129,55,25,354,193,247,286,9.876995,63.884921
212,76,99,31,7607,241,-75,316,171,-8,171,-26,1076,126,48,29,364,161,364,164,14.299426,46.590504
213,54,84,23,9884,238,-119,357,176,-68,176,-74,617,82,31,29,222,104,222,118,35.324449,52.352621
214,58,84,23,9853,242,-114,356,181,-62,181,-69,608,80,31,28,216,105,216,119,35.058355,52.130972
215,68,56,22,6966,203,-49,252,120,9,160,-18,748,88,38,26,252,131,215,146,10.741704,59.453331
216,49,69,24,7599,202,-81,283,101,-10,149,-47,801,93,41,26,266,134,246,155,10.913587,59.882725
217,74,42,24,4631,165,-4,169,85,89,134,19,1518,190,71,32,542,228,329,342,5.270362,59.415749
218,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.27599,51.38923
219,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.267464,51.383153
220,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.274845,51.388953
221,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.276593,51.387435
222,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.276593,51.387435
223,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.273984,51.388858
224,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.274845,51.388953
225,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.267464,51.383153
226,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.267464,51.383153
227,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.27599,51.38923
228,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.267464,51.383153
229,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.267464,51.383153
230,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.274845,51.388953
231,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.273984,51.388858
232,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.267464,51.383153
233,96,75,36,4675,209,2,207,46,61,155,36,717,75,47,16,218,151,163,193,-1.270647,51.381824
234,95,76,34,5032,216,-3,219,40,58,159,30,704,71,44,13,203,150,169,180,-0.936,51.552
235,95,76,34,5032,216,-3,219,40,58,159,30,704,71,44,13,203,150,169,180,-0.936,51.552
236,95,76,34,5032,216,-3,219,40,58,159,30,704,71,44,13,203,150,169,180,-0.936,51.552
237,95,76,34,5032,216,-3,219,40,58,159,30,704,71,44,13,203,150,169,180,-0.936,51.552
238,95,76,34,5032,216,-3,219,40,58,159,30,704,71,44,13,203,150,169,180,-0.936,51.552
239,95,76,34,5032,216,-3,219,40,58,159,30,704,71,44,13,203,150,169,180,-0.936,51.552
240,99,76,33,5608,223,-2,225,170,57,170,27,819,80,54,12,237,175,237,190,6.156889,50.856415
241,99,76,33,5608,223,-2,225,170,57,170,27,819,80,54,12,237,175,237,190,6.156889,50.856415
242,87,76,29,6800,230,-32,262,174,9,174,0,616,80,34,27,219,109,219,117,13.771147,51.080845
243,87,88,34,6045,227,-27,254,163,46,163,8,704,76,46,15,209,143,209,176,7.488856,49.455181
244,74,98,31,7551,238,-75,313,168,-10,168,-27,1069,126,49,29,365,163,365,167,14.503043,46.575382
245,95,76,34,5032,216,-3,219,40,58,159,30,704,71,44,13,203,150,169,180,-0.936,51.552
246,95,76,34,5032,216,-3,219,40,58,159,30,704,71,44,13,203,150,169,180,-0.936,51.552
247,95,76,34,5032,216,-3,219,40,58,159,30,704,71,44,13,203,150,169,180,-0.936,51.552
248,184,122,40,6120,360,56,304,117,264,265,109,579,87,1,63,247,18,22,233,-5.990371,37.376355
249,75,49,28,4549,172,-3,175,85,91,134,21,2008,254,95,32,727,319,421,523,5.161917,60.451009
250,48,69,28,6038,175,-63,238,94,38,127,-28,918,111,50,25,298,164,235,223,10.709912,63.588974
251,45,69,28,6272,175,-71,246,93,34,127,-34,970,116,52,24,312,175,250,237,11.292838,63.726781
252,43,73,24,7906,204,-94,298,131,-16,146,-59,787,91,42,26,257,131,247,153,11.034773,60.261791
253,95,88,33,6488,241,-25,266,177,22,177,10,665,74,41,17,205,134,205,143,9.126329,50.072296
254,88,82,33,6093,223,-21,244,166,43,166,10,661,72,39,18,210,132,210,146,9.823606,52.365646
255,82,84,31,6700,227,-40,267,167,8,167,-6,831,108,48,30,304,147,304,153,10.813621,48.357548
256,88,82,33,6093,223,-21,244,166,43,166,10,661,72,39,18,210,132,210,146,9.808314,52.360828
257,87,64,29,5653,201,-13,214,159,40,159,16,787,81,43,18,233,144,233,178,7.536092,53.490837
258,-7,61,28,5454,105,-108,213,61,-74,61,-74,1245,148,74,23,418,238,418,238,11.023623,46.844522
259,-7,61,28,5454,105,-108,213,61,-74,61,-74,1245,148,74,23,418,238,418,238,11.019475,46.86356
260,-7,61,28,5454,105,-108,213,61,-74,61,-74,1245,148,74,23,418,238,418,238,11.022334,46.867611
261,82,74,32,5751,210,-18,228,17,42,156,10,922,93,61,12,266,197,237,239,5.979921,49.959846
262,73,81,30,6474,217,-52,269,153,-10,155,-10,960,114,43,31,313,139,312,139,9.898032,45.887118
263,76,83,24,9056,247,-88,335,187,-34,187,-43,622,87,34,31,232,111,232,123,30.168637,51.05951
